utility_id,account_id,meter_id,reading_timestamp,consumption_gallons,prev_consumption_gallons,delta_from_prev,rolling_24h_avg,rolling_24h_max,rolling_7d_avg,hour_of_day,day_of_week,overnight_flag,weekend_flag,deviation_from_24h_avg,anomaly_score,is_anomaly
2246,203075,9150020,2026-03-01 00:00:00,4.726,0.0,0.0,4.726,4.726,4.726,0,6,1,1,0.0,0.05546200124062284,0
2246,203075,9150020,2026-03-01 01:00:00,4.858,4.726,0.13199999999999967,4.792,4.858,4.792,1,6,1,1,0.06599999999999984,0.11292102478820665,0
2246,203075,9150020,2026-03-01 02:00:00,4.174,4.858,-0.6839999999999993,4.585999999999999,4.858,4.585999999999999,2,6,1,1,-0.41199999999999903,0.10182971688337672,0
2246,203075,9150020,2026-03-01 03:00:00,4.802,4.174,0.6279999999999992,4.64,4.858,4.64,3,6,1,1,0.16199999999999992,0.10651033132745236,0
2246,203075,9150020,2026-03-01 04:00:00,4.631,4.802,-0.17099999999999937,4.638199999999999,4.858,4.638199999999999,4,6,1,1,-0.007199999999999207,0.11606388874152518,0
2246,203075,9150020,2026-03-01 05:00:00,6.981,4.631,2.3499999999999996,5.028666666666667,6.981,5.028666666666667,5,6,0,1,1.9523333333333328,0.0926427038772697,0
2246,203075,9150020,2026-03-01 06:00:00,6.349,6.981,-0.6319999999999997,5.2172857142857145,6.981,5.2172857142857145,6,6,0,1,1.1317142857142857,0.09455016858958631,0
2246,203075,9150020,2026-03-01 07:00:00,6.597,6.349,0.24800000000000022,5.38975,6.981,5.38975,7,6,0,1,1.2072500000000002,0.08345961215675723,0
2246,203075,9150020,2026-03-01 08:00:00,6.097,6.597,-0.5,5.468333333333334,6.981,5.468333333333334,8,6,0,1,0.6286666666666667,0.08052764360639597,0
2246,203075,9150020,2026-03-01 09:00:00,4.521,6.097,-1.5760000000000005,5.373600000000001,6.981,5.373600000000001,9,6,0,1,-0.8526000000000007,0.10859171914939458,0
2246,203075,9150020,2026-03-01 10:00:00,4.88,4.521,0.359,5.3287272727272725,6.981,5.3287272727272725,10,6,0,1,-0.44872727272727264,0.1468315691132478,0
2246,203075,9150020,2026-03-01 11:00:00,5.547,4.88,0.6669999999999998,5.346916666666666,6.981,5.346916666666666,11,6,0,1,0.2000833333333336,0.14145414303300158,0
2246,203075,9150020,2026-03-01 12:00:00,4.022,5.547,-1.5249999999999995,5.245,6.981,5.245,12,6,0,1,-1.2229999999999999,0.13088858028939743,0
